reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
D Q,2025-06,Dutch,"Excellent experience with emergency doctor
We were helped by a young looking male emergency doctor and I am very pleased with that. Not only was he super friendly and professional, but he also took the time to check everything thoroughly. His careful approach gave me confidence right away. You really feel that you are in good hands. Keep up the good work - this is how care should be!",UZ Gent,"excellent experience with emergency doctor
we were helped by a young looking male emergency doctor and i am very pleased with that. not only was he super friendly and professional, but he also took the time to check everything thoroughly. his careful approach gave me confidence right away. you really feel that you are in good hands. keep up the good work - this is how care should be!",0.313,0.647,0.04,0.9763,positive,positive,0.9998331069946289
Simon,2025-06,English,This is a huge hospital campus.,UZ Gent,this is a huge hospital campus.,0.315,0.685,0.0,0.3182,positive,negative,0.7053166627883911
Xhina Vodo,2025-06,English,I have a great experience here met doctors and nurse ❤️❤️,UZ Gent,i have a great experience here met doctors and nurse ❤️❤️,0.24,0.76,0.0,0.6249,positive,positive,0.9972469806671143
Annelies Sonck,2025-06,Dutch,"Only a lot of praise for the headache specialists.. every time there is thorough consultation with the professor himself, a lot of information, always correct, wants to consult with another hospital before admission in case of emergency, intervenes when the headache suddenly worsens,.. highly recommended for serious headache complaints!

Previously operated on ankle (12 years ago), after that never saw the prof again, tried for a year to get an appointment with him because it was too complex, but never saw him again.. this was a lesser experience..

Not easily accessible and somewhat unclear routes.. long walks when you have limited mobility.
Improved by red block!",UZ Gent,"only a lot of praise for the headache specialists.. every time there is thorough consultation with the professor himself, a lot of information, always correct, wants to consult with another hospital before admission in case of emergency, intervenes when the headache suddenly worsens,.. highly recommended for serious headache complaints!

previously operated on ankle (12 years ago), after that never saw the prof again, tried for a year to get an appointment with him because it was too complex, but never saw him again.. this was a lesser experience..

not easily accessible and somewhat unclear routes.. long walks when you have limited mobility.
improved by red block!",0.066,0.783,0.151,-0.8118,negative,negative,0.9764629602432251
Barbara Hermans,2025-06,Dutch,Top quality care with a human side!,UZ Gent,top quality care with a human side!,0.514,0.486,0.0,0.6476,positive,positive,0.9997642636299133
Souf Sa,2025-06,Dutch,"Called with a question about my 6 month old child who had a fever to be connected to the pediatrician to ask a simple question. I was told by the reception on the line that since my child was not born or treated in the UZ in Ghent, they are not allowed to connect me!! Outrageous, you should be ashamed of yourselves!",UZ Gent,"called with a question about my 6 month old child who had a fever to be connected to the pediatrician to ask a simple question. i was told by the reception on the line that since my child was not born or treated in the uz in ghent, they are not allowed to connect me!! outrageous, you should be ashamed of yourselves!",0.0,0.896,0.104,-0.7891,negative,negative,0.9989664554595947
Glenn Janssens,2025-06,English,The surgeon called my appendix 'a little spicy guy' and gave it a tiny burial in a jewelry box. I wasn't sure what to say so I clapped. Great experience overall.,UZ Gent,the surgeon called my appendix 'a little spicy guy' and gave it a tiny burial in a jewelry box. i wasn't sure what to say so i clapped. great experience overall.,0.124,0.821,0.056,0.527,positive,positive,0.9993151426315308
saja rolink,2025-06,Dutch,"Partner has been a patient there for years and is simply left out in the cold... moved and after two years of searching we still have no family doctor because of a stop in patients everywhere, so we email the endocrinologist for her medication prescriptions. We simply do not get an answer... so now she is without medication for a month until her next check-up... a heart for patients is nowhere to be found",UZ Gent,"partner has been a patient there for years and is simply left out in the cold.. moved and after two years of searching we still have no family doctor because of a stop in patients everywhere, so we email the endocrinologist for her medication prescriptions. we simply do not get an answer.. so now she is without medication for a month until her next check-up.. a heart for patients is nowhere to be found",0.053,0.892,0.055,0.2023,positive,negative,0.9997996687889099
Cataleia Anghel,2025-06,Romanian,I am very satisfied with the doctors at this hospital,UZ Gent,i am very satisfied with the doctors at this hospital,0.256,0.744,0.0,0.4754,positive,positive,0.9983626008033752
Karl Verelst,2025-05,Dutch,"Had a very bad experience with staff in the ENT department on Thursday afternoon, February 20, 2025, more specifically with one of their doctors, J-B Watelet. Subsequently, the ombudsman service also did not provide proper assistance. I am not in the habit of writing negative reviews (feel free to check my profile), but I see no other option than to warn others about this experience. For irregular and unexplained pain in my right ear, I made an appointment online at the ENT department and I was given an appointment with the doctor in question quickly. I was welcomed coldly, with hardly any contact being made and the gentleman mainly looked at his computer screen. Apparently my medical file was being looked at on Cozo all the time and this doctor opened a total of 11 documents (my own GP has never opened so many documents on this platform). He didn't actually listen to my story, but formed a picture based on all these documents. This includes an overview of the medications I took in the past. He asked me what medication I took and I answered honestly that I sometimes took some painkillers or anti-inflammatories. But he did not believe this because of my medication schedule that was open on the screen (which I could not see, it was set up that way). He forgot that there was also an end date for this medication. When he asked what medication I was taking, he did not accept my answer, but assumed that I was still taking all the medication listed. Apparently he could not or did not want to read that these were no longer taken and did not believe me. At this point he became verbally aggressive, his attitude became intimidating and I was basically humiliated. I was no longer believed in my story because of the tests that could not show anything and my medical past. A consultation five years earlier in another hospital was dragged into this whole and used against me. It was suggested (not literally said) by the man who calls himself a doctor that I had other problems. Since I didn't say what medication I was taking (which I did), he claimed I was acting like the medical expert in the room. This situation got completely out of hand. He came across as non-verbally deceptive because of his posture, his wide eyes, the gestures with his arms and his choice of words. I felt completely intimidated and unhelped. I also had the impression that he did not fully understand me, Dutch is clearly not his first language. When I talked about physical problems he clearly understood them as psychological ones. I was then virtually forced out of the practice without any prospects of help or treatment. At the end he literally said that the hospital services could learn from this experience by not taking someone in faster than me. I have no idea what I did to deserve this insult. I brought this entire story to the ombudsman service, but they could not tell me anything other than that they had forwarded the story to the doctor by email, but he did not respond. They went to report my story to the head of department, but here too I received no follow-up. And the ultimate sad thing is that I paid for this appointment. I have paid for this humiliation and still no relief from my pain.",UZ Gent,"had a very bad experience with staff in the ent department on thursday afternoon, february 20, 2025, more specifically with one of their doctors, j-b watelet. subsequently, the ombudsman service also did not provide proper assistance. i am not in the habit of writing negative reviews (feel free to check my profile), but i see no other option than to warn others about this experience. for irregular and unexplained pain in my right ear, i made an appointment online at the ent department and i was given an appointment with the doctor in question quickly. i was welcomed coldly, with hardly any contact being made and the gentleman mainly looked at his computer screen. apparently my medical file was being looked at on cozo all the time and this doctor opened a total of 11 documents (my own gp has never opened so many documents on this platform). he didn't actually listen to my story, but formed a picture based on all these documents. this includes an overview of the medications i took in the past. he asked me what medication i took and i answered honestly that i sometimes took some painkillers or anti-inflammatories. but he did not believe this because of my medication schedule that was open on the screen (which i could not see, it was set up that way). he forgot that there was also an end date for this medication. when he asked what medication i was taking, he did not accept my answer, but assumed that i was still taking all the medication listed. apparently he could not or did not want to read that these were no longer taken and did not believe me. at this point he became verbally aggressive, his attitude became intimidating and i was basically humiliated. i was no longer believed in my story because of the tests that could not show anything and my medical past. a consultation five years earlier in another hospital was dragged into this whole and used against me. it was suggested (not literally said) by the man who calls himself a doctor that i had other problems. since i didn't say what medication i was taking (which i did), he claimed i was acting like the medical expert in the room. this situation got completely out of hand. he came across as non-verbally deceptive because of his posture, his wide eyes, the gestures with his arms and his choice of words. i felt completely intimidated and unhelped. i also had the impression that he did not fully understand me, dutch is clearly not his first language. when i talked about physical problems he clearly understood them as psychological ones. i was then virtually forced out of the practice without any prospects of help or treatment. at the end he literally said that the hospital services could learn from this experience by not taking someone in faster than me. i have no idea what i did to deserve this insult. i brought this entire story to the ombudsman service, but they could not tell me anything other than that they had forwarded the story to the doctor by email, but he did not respond. they went to report my story to the head of department, but here too i received no follow-up. and the ultimate sad thing is that i paid for this appointment. i have paid for this humiliation and still no relief from my pain.",0.047,0.83,0.123,-0.9935,negative,negative,0.996841549873352
Robin DE SMET,2025-05,Dutch,"Not satisfied with the revolving door at entrance 7 of the blue Building. The door regularly stops working, which causes frustration and impatience among visitors. People then try to slip through, which is not only dangerous, but also causes extra chaos at the entrance.

In addition, the interior of the building currently looks rather poor and unfinished. Hopefully this will be addressed in the long term, because the first impression is unfortunately not positive.

Friendly people indeed!",UZ Gent,"not satisfied with the revolving door at entrance 7 of the blue building. the door regularly stops working, which causes frustration and impatience among visitors. people then try to slip through, which is not only dangerous, but also causes extra chaos at the entrance.

in addition, the interior of the building currently looks rather poor and unfinished. hopefully this will be addressed in the long term, because the first impression is unfortunately not positive.

friendly people indeed!",0.077,0.653,0.27,-0.9593,negative,negative,0.9990290403366089
Javi O,2025-05,Dutch,Patients are being milked here. 90 euros for a 15 minute consultation? Unseen. I'm still in shock.,UZ Gent,patients are being milked here. 90 euros for a 15 minute consultation? unseen. i'm still in shock.,0.0,0.86,0.14,-0.3818,neutral,negative,0.9975224137306213
Veerle Van Driessche,2025-05,Dutch,"Last week I was operated on in the surgical day hospital by Prof Van Zele. The nurses in the operating room and in the day hospital were super friendly, as was the anesthetist. Thank you for the good care.",UZ Gent,"last week i was operated on in the surgical day hospital by prof van zele. the nurses in the operating room and in the day hospital were super friendly, as was the anesthetist. thank you for the good care.",0.316,0.684,0.0,0.9403,positive,positive,0.9994390606880188
Tom Meul,2025-05,Dutch,Friendly staff and very good care.,UZ Gent,friendly staff and very good care.,0.767,0.233,0.0,0.8712,positive,positive,0.9998584985733032
Sonia,2025-05,French,"I expressed pain in the head in different parts of the body, healing problems, I made it clear that I am feeling my condition getting worse, that I cannot expose myself to the sun, I have had more than 100 edemas in 6 months in the face with an infinite list of triggers, that I have swelling when in contact with bacteria, that I have a headache as if I had had a persistent car accident and that I am at the end of my strength.... I have a paper from my attending physician who asks that I be taken into emergency care by the immunology department... so they will definitely not take care of me and I will be offered a scheduled appointment with the dermatologist in 2 weeks in the face of my dissatisfaction. I was told you can say thank you, a possibility of treatment in psychiatry for physical complaints, no alternative for pain is offered... I am racialized...Mediterranean syndrome? I don't know but I know that everyone has the right to be upset and psychologically tired after experiencing pain and stress for such a long period of time.",UZ Gent,"i expressed pain in the head in different parts of the body, healing problems, i made it clear that i am feeling my condition getting worse, that i cannot expose myself to the sun, i have had more than 100 edemas in 6 months in the face with an infinite list of triggers, that i have swelling when in contact with bacteria, that i have a headache as if i had had a persistent car accident and that i am at the end of my strength.. i have a paper from my attending physician who asks that i be taken into emergency care by the immunology department.. so they will definitely not take care of me and i will be offered a scheduled appointment with the dermatologist in 2 weeks in the face of my dissatisfaction. i was told you can say thank you, a possibility of treatment in psychiatry for physical complaints, no alternative for pain is offered.. i am racialized..mediterranean syndrome? i don't know but i know that everyone has the right to be upset and psychologically tired after experiencing pain and stress for such a long period of time.",0.056,0.784,0.16,-0.9706,negative,negative,0.9946704506874084
Daniël Désiré De Raeve,2025-04,Dutch,Everything arranged well,UZ Gent,everything arranged well,0.512,0.488,0.0,0.2732,positive,positive,0.9997665286064148
Karl Villareal,2025-04,English,"It is quite cool to see how the specialist doctor shows an intern how he analyzes you, the patient.",UZ Gent,"it is quite cool to see how the specialist doctor shows an intern how he analyzes you, the patient.",0.126,0.874,0.0,0.3804,positive,positive,0.9997205138206482
S DW,2025-04,Dutch,"Very bad experience with care at the neurology department. Little communication. Partly incompetent staff. After almost 1 week, my mother's medication was still not correctly included in the medication management. It took 5 days for the antidepressants she has been taking for 15 years to be noted. A known dermatological wound was treated, but the suture that was still there was apparently not noticed. No hand soap available in the room. No help with washing the first few days. My mother is hypersensitive and was in isolation for a contagious respiratory disease, but was in a room where the handle was broken, so the door had to be left ajar all the time. This was only resolved after 3 days even though it was during the week. In addition, my mother was taken out of bed at 7am with the message that she had a neighbor and had to wash quickly. This turned out to be a less gifted male patient in a room where there was no dividing curtain and the sink was in the room without a shield. Fortunately, the nurse intervened at this point. Only after 1 week of conversation with the doctor (the treating doctor had already left on leave, so only spoke to a replacement doctor. He was friendly and provided sufficient explanation. When transferred to a regional hospital, it was not communicated that my mother opted for a 1pk. She initially ended up on a 2pk and they did not have room on a 1pk for at least 1 week. In my opinion, a lot of mistakes happened during this admission. Fortunately, there were also positive things: The support provided by the support services (speech therapy, etc.) It went well and my mother really liked the food!",UZ Gent,"very bad experience with care at the neurology department. little communication. partly incompetent staff. after almost 1 week, my mother's medication was still not correctly included in the medication management. it took 5 days for the antidepressants she has been taking for 15 years to be noted. a known dermatological wound was treated, but the suture that was still there was apparently not noticed. no hand soap available in the room. no help with washing the first few days. my mother is hypersensitive and was in isolation for a contagious respiratory disease, but was in a room where the handle was broken, so the door had to be left ajar all the time. this was only resolved after 3 days even though it was during the week. in addition, my mother was taken out of bed at 7am with the message that she had a neighbor and had to wash quickly. this turned out to be a less gifted male patient in a room where there was no dividing curtain and the sink was in the room without a shield. fortunately, the nurse intervened at this point. only after 1 week of conversation with the doctor (the treating doctor had already left on leave, so only spoke to a replacement doctor. he was friendly and provided sufficient explanation. when transferred to a regional hospital, it was not communicated that my mother opted for a 1pk. she initially ended up on a 2pk and they did not have room on a 1pk for at least 1 week. in my opinion, a lot of mistakes happened during this admission. fortunately, there were also positive things: the support provided by the support services (speech therapy, etc.) it went well and my mother really liked the food!",0.089,0.835,0.077,0.7213,positive,negative,0.9996778964996338
Walter Duerloo,2025-04,Dutch,"The hospital is easily accessible, but the signage leaves a lot to be desired, once you are on the hospital grounds.",UZ Gent,"the hospital is easily accessible, but the signage leaves a lot to be desired, once you are on the hospital grounds.",0.186,0.814,0.0,0.5187,positive,negative,0.9991154074668884
Sarah Dechaene,2025-04,Dutch,Just no words. No care is provided here.,UZ Gent,just no words. no care is provided here.,0.161,0.427,0.412,-0.4479,neutral,negative,0.999583899974823
Maxim Abalacov,2025-03,English,Good service,UZ Gent,good service,0.744,0.256,0.0,0.4404,positive,positive,0.9998499155044556
Brochure Shop,2025-03,Dutch,Urgent surgery at 6am is postponed to 12pm without notice. Very bad organization. Also infrastructure and rooms comparable to an old hospital in the Balkans. Maintenance to be regretted.,UZ Gent,urgent surgery at 6am is postponed to 12pm without notice. very bad organization. also infrastructure and rooms comparable to an old hospital in the balkans. maintenance to be regretted.,0.142,0.73,0.128,0.1197,positive,negative,0.9997376799583435
G O,2025-03,Dutch,Unprofessional and unfriendly behavior of care providers.,UZ Gent,unprofessional and unfriendly behavior of care providers.,0.246,0.308,0.446,-0.3818,neutral,negative,0.9979214072227478
Ionnah,2025-02,Dutch,A big thank you to Dr. Vantilborgh A.,UZ Gent,a big thank you to dr. vantilborgh a.,0.263,0.737,0.0,0.3612,positive,positive,0.9998080134391785
Adam,2025-02,Polish,"I was in bed for two months after a stroke, the care was elegant and friendly, the girls were nice even without knowing the language.",UZ Gent,"i was in bed for two months after a stroke, the care was elegant and friendly, the girls were nice even without knowing the language.",0.369,0.631,0.0,0.9062,positive,positive,0.9991476535797119
Roze Chest,2025-02,Dutch,Why does my review keep getting deleted?,UZ Gent,why does my review keep getting deleted?,0.0,1.0,0.0,0.0,neutral,negative,0.9994142055511475
Fleur Albrecht,2025-02,Dutch,No words for worthless a number are just try to find something that fits. But it doesn't matter because in a moment their standard text will appear. And then there is someone walking around who has won a prize in rheumatology. But it will depend on the patient surely that a psychologist is needed. Man man man.,UZ Gent,no words for worthless a number are just try to find something that fits. but it doesn't matter because in a moment their standard text will appear. and then there is someone walking around who has won a prize in rheumatology. but it will depend on the patient surely that a psychologist is needed. man man man.,0.21,0.723,0.067,0.9159,positive,negative,0.9718939065933228
Aimy Van Herzele,2025-02,Dutch,"Do not call the billing department, the phone is thrown after you are accused of being rude.
They should play a tape, then you also get the information 'your bill was not put on hold'. You should have responded sooner. After 2 phone calls, email billing, email ombudsman, they charge an extra €20.
1 hour later the care provider calls that they have indeed charged the wrong rate (double price). But you have had the accusation on the phone.
I am curious about my adjusted bill and whether there are also extra costs
Fire such people who are only there to earn money instead of listening to the problem",UZ Gent,"do not call the billing department, the phone is thrown after you are accused of being rude.
they should play a tape, then you also get the information 'your bill was not put on hold'. you should have responded sooner. after 2 phone calls, email billing, email ombudsman, they charge an extra €20.
1 hour later the care provider calls that they have indeed charged the wrong rate (double price). but you have had the accusation on the phone.
i am curious about my adjusted bill and whether there are also extra costs
fire such people who are only there to earn money instead of listening to the problem",0.056,0.819,0.126,-0.7543,negative,negative,0.9933284521102905
Ewan Hooghstoel,2025-02,Dutch,"My father died last Tuesday from the consequences of esophageal cancer, From the beginning of the treatments we were referred to the UZ Gent for the discussions about the survival expectations after 2 years and afterwards, things went well with him for a while until he relapsed with another type of cancer in the brain. He was admitted to the ASZ of Geraardsbergen because we live not far from there and because he received chemotherapy there. The answer he got was ""we think it is a metastasis of the esophagus"", they could not say what the cause was. Before he was admitted, he first asked how long he had to live before the brain tumors would break out again, the answer we got from the oncologist was ""your life expectancy is until around summer, and with the radiation everything would go better again"". Of course this turned out not to be the case and I personally think that is something that is not possible, as an oncologist you should always be sure of your answer, and that was completely different here at the UZ Gent. Surgeon Hanne Vanomeslaeghe was able to tell us everything honestly and with certainty, so if you want honest answers about cancer, the UZ Gent is the perfect place for you. I think it would have been better if he had been treated there, but that is too late now.",UZ Gent,"my father died last tuesday from the consequences of esophageal cancer, from the beginning of the treatments we were referred to the uz gent for the discussions about the survival expectations after 2 years and afterwards, things went well with him for a while until he relapsed with another type of cancer in the brain. he was admitted to the asz of geraardsbergen because we live not far from there and because he received chemotherapy there. the answer he got was ""we think it is a metastasis of the esophagus"", they could not say what the cause was. before he was admitted, he first asked how long he had to live before the brain tumors would break out again, the answer we got from the oncologist was ""your life expectancy is until around summer, and with the radiation everything would go better again"". of course this turned out not to be the case and i personally think that is something that is not possible, as an oncologist you should always be sure of your answer, and that was completely different here at the uz gent. surgeon hanne vanomeslaeghe was able to tell us everything honestly and with certainty, so if you want honest answers about cancer, the uz gent is the perfect place for you. i think it would have been better if he had been treated there, but that is too late now.",0.076,0.882,0.042,0.336,positive,negative,0.8777239322662354
K DK,2025-01,Dutch,"It's strange that they send reminder invoices by email (never received but receipt, not even in spam) but can suddenly send a ""Formal notice of default"" by post!!! 20 euros in damages!! That's how they easily earn money!!!!
And it's certainly not because they don't want to pay, I just didn't receive/see the emails because I paid the invoice by post right away!
It's amazing that this can all happen just like that!",UZ Gent,"it's strange that they send reminder invoices by email (never received but receipt, not even in spam) but can suddenly send a ""formal notice of default"" by post!! 20 euros in damages!! that's how they easily earn money!!
and it's certainly not because they don't want to pay, i just didn't receive/see the emails because i paid the invoice by post right away!
it's amazing that this can all happen just like that!",0.22,0.707,0.073,0.9365,positive,positive,0.9928635954856873
Ruben Ponnet,2025-01,Dutch,"Generally satisfied with the care they offer

But charging people €10+ for parking when they have just said goodbye to family in the hospital is unfriendly to me...",UZ Gent,"generally satisfied with the care they offer

but charging people €10+ for parking when they have just said goodbye to family in the hospital is unfriendly to me..",0.124,0.775,0.101,-0.0644,neutral,negative,0.9920480847358704
Walter De Geyndt,2025-01,Dutch,"Excellent team of doctors, specialists, nurses, physiotherapists, cleaning team, night shift on the cardiology department. From intensive, midcare to admission, they offer the best of themselves. My deepest thanks to Dr. Philipsen and her team for the successful bridging operation. Thanks to you, I can continue with my life. Happy New Year from Java.",UZ Gent,"excellent team of doctors, specialists, nurses, physiotherapists, cleaning team, night shift on the cardiology department. from intensive, midcare to admission, they offer the best of themselves. my deepest thanks to dr. philipsen and her team for the successful bridging operation. thanks to you, i can continue with my life. happy new year from java.",0.306,0.694,0.0,0.969,positive,positive,0.9998509883880615
Shauna McNally,2024-12,English,"Great Hospital, really hard working people, it's just a real shame how the 'deserve ideology of the neo libs are beginning to ware out the Belgian 'Public Healthcare.

I didn't know that you must pay lots of extras , that could be ok but it really feels a though if your a basic worker citizen these systems always try to remind you of that & it seems they may make it unbearable eventually like Ireland has done.",UZ Gent,"great hospital, really hard working people, it's just a real shame how the 'deserve ideology of the neo libs are beginning to ware out the belgian 'public healthcare.

i didn't know that you must pay lots of extras , that could be ok but it really feels a though if your a basic worker citizen these systems always try to remind you of that & it seems they may make it unbearable eventually like ireland has done.",0.089,0.855,0.055,0.5864,positive,negative,0.9925098419189453
Elisabeth Vermeiren,2024-12,Dutch,"I was treated very rudely by the billing department regarding an additional invoice. During an initial telephone contact I was treated in a friendly manner and was advised to contact the ombudsman. During a second contact with the simple request for the number of the ombudsman I was treated very rudely and impolitely and ultimately did not receive the number (they only asked me in an arrogant tone why I wanted that number and the lady thought that I was apparently not allowed to have it after my explanation and had problems with the fact that I sounded a bit angry, even though I remained respectful, I was angry of course because an unexpected surcharge of several hundred euros is not a small amount for me and many others, especially since we were assured that the health insurance fund would intervene for anything that would exceed our advance payment). So I received very unclear information regarding the billing and possible costs following an operation (which went without complications), despite the explicit request for clarity in advance. The uzgent likes to charge extra costs and for very high amounts I have the impression (this is not the first time I have experienced that). I also did not get any clarity regarding what exactly is charged in this additional invoice (apart from some vague explanation at the billing department) and now have strong doubts about the operation of this hospital. It is not transparent in any case and hopefully this will be worked on in the future",UZ Gent,"i was treated very rudely by the billing department regarding an additional invoice. during an initial telephone contact i was treated in a friendly manner and was advised to contact the ombudsman. during a second contact with the simple request for the number of the ombudsman i was treated very rudely and impolitely and ultimately did not receive the number (they only asked me in an arrogant tone why i wanted that number and the lady thought that i was apparently not allowed to have it after my explanation and had problems with the fact that i sounded a bit angry, even though i remained respectful, i was angry of course because an unexpected surcharge of several hundred euros is not a small amount for me and many others, especially since we were assured that the health insurance fund would intervene for anything that would exceed our advance payment). so i received very unclear information regarding the billing and possible costs following an operation (which went without complications), despite the explicit request for clarity in advance. the uzgent likes to charge extra costs and for very high amounts i have the impression (this is not the first time i have experienced that). i also did not get any clarity regarding what exactly is charged in this additional invoice (apart from some vague explanation at the billing department) and now have strong doubts about the operation of this hospital. it is not transparent in any case and hopefully this will be worked on in the future",0.085,0.799,0.116,-0.8411,negative,negative,0.9993534684181213
Nathalie De Roo,2024-12,Dutch,"I had an appointment at endocrinology for a 2nd opinion. When registering for an appointment I had to add my blood results and list of physical complaints. Eventually after waiting for half a year I had to go from Deerlijk to Ghent. At home I had to arrange a lot in advance (childcare),.....there is someone in training who did not bother to prepare her, did not look at any of my file. And in the end she literally did some administration that was in the previous report without thinking. That way she knew for sure that she would not make any major mistakes. Have I been helped no, have I been referred no, I do not know what else now either. In a word, the patient is not seen as a whole. Horse valves on and blindly staring at blood results. That is the doctors of the future.",UZ Gent,"i had an appointment at endocrinology for a 2nd opinion. when registering for an appointment i had to add my blood results and list of physical complaints. eventually after waiting for half a year i had to go from deerlijk to ghent. at home i had to arrange a lot in advance (childcare),..there is someone in training who did not bother to prepare her, did not look at any of my file. and in the end she literally did some administration that was in the previous report without thinking. that way she knew for sure that she would not make any major mistakes. have i been helped no, have i been referred no, i do not know what else now either. in a word, the patient is not seen as a whole. horse valves on and blindly staring at blood results. that is the doctors of the future.",0.028,0.936,0.036,-0.2862,neutral,negative,0.9988032579421997
Luc Wauters,2024-12,Dutch,Always friendly staff,UZ Gent,always friendly staff,0.615,0.385,0.0,0.4939,positive,positive,0.9998112320899963
Ronny De pauw,2024-12,Dutch,"Go there several times, but parking is never there.",UZ Gent,"go there several times, but parking is never there.",0.0,1.0,0.0,0.0,neutral,negative,0.9972067475318909
Jacinthe Marat,2024-12,French,"Fast and precise team: very good support with very good exchanges, in English and French!",UZ Gent,"fast and precise team: very good support with very good exchanges, in english and french!",0.446,0.554,0.0,0.8643,positive,positive,0.9998830556869507
luc de brandt,2024-12,Dutch,"Today route 590 done for the umpteenth time. Eye check. On 5 Nov the drinks machine was broken. Today 21 Nov still. At the counter you get the answer that it is not their problem because it depends on an external company.
That does not serve the patient / customer.
And please do not give the standard answer this time of: we do ...
Solve it. Please.
...",UZ Gent,"today route 590 done for the umpteenth time. eye check. on 5 nov the drinks machine was broken. today 21 nov still. at the counter you get the answer that it is not their problem because it depends on an external company.
that does not serve the patient / customer.
and please do not give the standard answer this time of: we do ..
solve it. please.
..",0.116,0.843,0.041,0.5511,positive,negative,0.9984921216964722
lindsay van renterghem,2024-12,Dutch,"After a serious accident with a truck, I was taken to Uz Gent. Although I had no experience with this hospital, I was well cared for in both the intensive care unit and the orthopedics/traumatology department. The plastic surgeon team and the orthopedics team (Doctor Neyt / Doctor Ali / Doctor Kim deserve great praise. They have improved my quality of life. Because of them I can soon start an adventure in the rehabilitation center. I would like to thank Uz Gent and their team of nurses, doctors and logistics for all their tireless efforts. Cleaning service could be better.",UZ Gent,"after a serious accident with a truck, i was taken to uz gent. although i had no experience with this hospital, i was well cared for in both the intensive care unit and the orthopedics/traumatology department. the plastic surgeon team and the orthopedics team (doctor neyt / doctor ali / doctor kim deserve great praise. they have improved my quality of life. because of them i can soon start an adventure in the rehabilitation center. i would like to thank uz gent and their team of nurses, doctors and logistics for all their tireless efforts. cleaning service could be better.",0.237,0.709,0.054,0.9702,positive,positive,0.9996989965438843
Rebecca van de walle,2024-11,Dutch,"Prof Charel van Praet and the entire urology team, k1 k2 floor 5 top team!

After 2 years I can finally find the courage to give my 5 stars. You all helped me and each in his own way (investigating / chatting if necessary) I will never forget this
Thank you",UZ Gent,"prof charel van praet and the entire urology team, k1 k2 floor 5 top team!

after 2 years i can finally find the courage to give my 5 stars. you all helped me and each in his own way (investigating / chatting if necessary) i will never forget this
thank you",0.173,0.827,0.0,0.8331,positive,positive,0.9997361302375793
C F,2024-11,Dutch,"A chemo treatment is cheaper than in the canteen, which is a shame, big business",UZ Gent,"a chemo treatment is cheaper than in the canteen, which is a shame, big business",0.0,0.819,0.181,-0.4767,neutral,negative,0.996168315410614
Kevin Van Eeckelen,2024-11,Dutch,Very good experience with the dermatology department,UZ Gent,very good experience with the dermatology department,0.347,0.653,0.0,0.4927,positive,positive,0.9995911717414856
Bram Croon,2024-11,Dutch,"How disastrous can your parking policy be? Ok, you shouldn't encourage cars, but I was stuck for 1h20 just to leave the parking lot",UZ Gent,"how disastrous can your parking policy be? ok, you shouldn't encourage cars, but i was stuck for 1h20 just to leave the parking lot",0.0,0.712,0.288,-0.727,negative,negative,0.999678373336792
Marco Radder,2024-11,Dutch,You get lost here.,UZ Gent,you get lost here.,0.0,0.566,0.434,-0.3182,neutral,negative,0.987250030040741
freddy collet,2024-11,Dutch,"The University Hospital Ghent, where I recently had surgery on my heart.
The infrastructure of the K12 fifth floor building is outdated and outdated.
The way in which maintenance work such as cleaning of the rooms is done is completely substandard, for example, an entire room for 2 people is cleaned with the same cloth, including sanitary facilities.
Parts of the room are not painted, skirting boards broken, 1 sink, there is 1 shower in the hallway for all people, just poor.
Yet the staff has a positive attitude and is competent, which makes up for a lot.",UZ Gent,"the university hospital ghent, where i recently had surgery on my heart.
the infrastructure of the k12 fifth floor building is outdated and outdated.
the way in which maintenance work such as cleaning of the rooms is done is completely substandard, for example, an entire room for 2 people is cleaned with the same cloth, including sanitary facilities.
parts of the room are not painted, skirting boards broken, 1 sink, there is 1 shower in the hallway for all people, just poor.
yet the staff has a positive attitude and is competent, which makes up for a lot.",0.092,0.851,0.057,0.5994,positive,negative,0.997749388217926
Sul Tan,2024-11,Dutch,The most arrogant doctor I have ever met here in the physical medicine department. An hour later I was asked inside and no excuses or anything and within 5 minutes I was outside again.,UZ Gent,the most arrogant doctor i have ever met here in the physical medicine department. an hour later i was asked inside and no excuses or anything and within 5 minutes i was outside again.,0.0,0.849,0.151,-0.6901,negative,negative,0.9982122182846069
